1.017966072158257074e+00 3.164320396887665421e+00 2.775259938188589626e+00 3.448660551395950069e+00 1.335014984665049420e+00 2.476980887239747631e+00 7.585424527081179313e+00 1.471700416019195501e+01 2.059354850969149098e+01 2.608715589865112605e+01
1.107769841765584573e+00 2.732456016138378185e+00 3.158883831936950326e+00 2.954989223686828481e+00 1.516094104114226182e+00 2.076646210239913692e+00 7.954765281006614508e+00 1.446635049919822436e+01 2.110719516087520375e+01 2.691007966753733172e+01
1.551089229218048926e+00 2.725644518362510205e+00 3.055051598739140672e+00 3.405807261298220201e+00 1.852785050217845564e+00 2.284389183662079770e+00 7.799069265151544528e+00 1.382124562314715277e+01 2.070321356209471020e+01 2.660511764392014200e+01
2.808583080507077501e+00 2.046453671593140289e+00 3.134400638772744774e+00 2.473130112447220696e+00 1.815205612296185045e+00 1.721316752402247685e+00 7.864465709657920023e+00 1.443191705884775722e+01 2.061142856846948490e+01 2.695605909446232928e+01
3.231862931504556169e+00 1.265207207372199605e+00 2.832808560578222945e+00 3.349159074755631682e+00 1.288616950172988052e+00 2.176486229516612525e+00 8.016111286339562270e+00 1.458774335907806119e+01 1.998828771904887702e+01 2.738123796907351704e+01
4.620848769041467463e+00 1.054073515817872009e+00 3.379700290178321520e+00 2.454376066075695473e+00 1.174182619649160930e+00 1.862532980671789407e+00 7.457407065198320417e+00 1.439126927685286361e+01 2.052594192169231135e+01 2.631111279506275835e+01
5.222780765911087641e+00 9.948956133659490053e-01 2.875746287687192648e+00 3.288189294666583606e+00 1.446839980485966626e+00 1.997043982922391159e+00 7.919859560445951630e+00 1.506832441267578027e+01 2.047170608914524692e+01 2.691248782801674011e+01
6.668017006029575811e+00 1.027171892414880716e+00 2.925977602667649613e+00 2.343971622007207767e+00 1.732148050314981758e+00 2.053270452030774074e+00 7.898214956442695112e+00 1.438086958372742608e+01 1.966888407656161064e+01 2.681482484157517376e+01
7.243125512893600515e+00 1.194485794721966254e+00 2.597946644159971896e+00 3.032299284973901887e+00 1.278364153482296928e+00 1.978979594539905795e+00 7.541146218062077189e+00 1.513021800817941553e+01 2.043776147655572828e+01 2.698704505690107425e+01
8.580375748600530983e+00 2.119645073754819808e+00 1.902805513329318909e+00 2.500243980896350138e+00 1.733702413521564401e+00 1.801424411194971764e+00 8.108757535118487070e+00 1.421011957088371425e+01 2.013902991874001103e+01 2.705319498457858529e+01
9.043608600786670948e+00 2.892448459644012981e+00 2.231487895070261018e+00 2.880514112495937695e+00 1.671739951578987027e+00 2.068838750424075279e+00 7.696601690217717895e+00 1.447922339625566757e+01 2.023790567165884369e+01 2.727313137165349488e+01
1.005581274831541805e+01 4.266455615230501763e+00 1.089891903528247719e+00 2.673575082997432073e+00 1.575023290594217418e+00 1.868736495850833901e+00 7.468602350682133739e+00 1.422719027243944190e+01 2.056463991517566825e+01 2.760931331585133464e+01
